31124;Ibargoiti;Total;2019;249;42.6746212051705;-1.4627397445
31259;Igantzi;Total;2019;639;43.220866538448;-1.68973295815
31125;Igúzquiza;Total;2019;325;42.640815804305;-2.09246357406
31126;Imotz;Total;2019;423;42.9600910471077;-1.8028480700
31127;Irañeta;Total;2019;172;42.918795974566;-1.93476664794
31904;Irurtzun;Total;2019;2.233;42.9266539883868;-1.8261081424
31128;Isaba/Izaba;Total;2019;395;42.8968755542705;-0.8540435245
31129;Ituren;Total;2019;511;43.1287012270014;-1.7158964776
31130;Iturmendi;Total;2019;403;42.9107039107269;-2.1260342719
31131;Iza/Itza;Total;2019;1.235;42.8819789965952;-1.7701564768
31132;Izagaondoa;Total;2019;176;42.7426681201463;-1.4314670086
31133;Izalzu/Itzaltzu;Total;2019;40;42.9273927598656;-1.0300112121
31134;Jaurrieta;Total;2019;189;42.9127155830256;-1.1541769900
31135;Javier;Total;2019;110;42.5397919580029;-1.2617937425
31136;Juslapeña;Total;2019;563;42.8996945266884;-1.7009773514
31138;Lakuntza;Total;2019;1.279;42.9326820716542;-2.0136058342
31139;Lana;Total;2019;169;42.710113256575;-2.25457876990
31140;Lantz;Total;2019;148;43.009417494466;-1.60590231567
31141;Lapoblación;Total;2019;120;42.6050394972641;-2.4603288870
31142;Larraga;Total;2019;2.075;42.5518167193388;-1.8590854223
31143;Larraona;Total;2019;102;42.7737413327035;-2.2554502147
31144;Larraun;Total;2019;951;43.0038335397783;-1.9017069784
31145;Lazagurría;Total;2019;189;42.49247297707;-2.233630810684
31146;Leache/Leatxe;Total;2019;30;42.6154709459665;-1.4096856149
31147;Legarda;Total;2019;117;42.7179562211199;-1.7777936081
31148;Legaria;Total;2019;111;42.642853289194;-2.17679434229
31149;Leitza;Total;2019;2.913;43.1229562051561;-1.8820799157
31908;Lekunberri;Total;2019;1.536;43.0060838399353;-1.9038906282
31150;Leoz/Leotz;Total;2019;220;42.5859441316111;-1.5756556158
31151;Lerga;Total;2019;55;42.5619514206386;-1.5012548304
31152;Lerín;Total;2019;1.725;42.4900603746511;-1.9608966705
31153;Lesaka;Total;2019;2.741;43.2622376573452;-1.7261541273
31154;Lezaun;Total;2019;242;42.7865917520358;-2.0019052142
31155;Liédena;Total;2019;292;42.6115159620745;-1.2539562744
31156;Lizoáin-Arriasgoiti;Total;2019;295;42.8296562296082;-1.4695518997
31157;Lodosa;Total;2019;4.816;42.3950142509395;-2.0748259957
31158;Lónguida/Longida;Total;2019;298;42.7868344403538;-1.3604309941
31159;Lumbier;Total;2019;1.318;42.654369761927;-1.26584486725
31160;Luquin;Total;2019;132;42.579947909401;-2.12222261512
31248;Luzaide/Valcarlos;Total;2019;329;43.0679124945006;-1.3046616494
31161;Mañeru;Total;2019;434;42.6560361120974;-1.8499175928
31162;Marañón;Total;2019;52;42.6235965795148;-2.4412790788
31163;Marcilla;Total;2019;2.858;42.3485213420453;-1.7207913770
31164;Mélida;Total;2019;733;42.3534566103572;-1.5308929286
31165;Mendavia;Total;2019;3.547;42.4478775527194;-2.2023661865
31166;Mendaza;Total;2019;287;42.6602291633493;-2.2509440471
31167;Mendigorría;Total;2019;1.086;42.6174848327155;-1.8407155449
31168;Metauten;Total;2019;288;42.6871425441958;-2.1264147258
31169;Milagro;Total;2019;3.416;42.2386085984767;-1.7640047201
31170;Mirafuentes;Total;2019;57;42.6232707844246;-2.2764906925
31171;Miranda de Arga;Total;2019;839;42.4842514540811;-1.8312515977
31172;Monreal/Elo;Total;2019;478;42.703816146367;-1.53098867174
31173;Monteagudo;Total;2019;1.092;41.9662618395552;-1.6948611084
31174;Morentin;Total;2019;129;42.5971642315669;-1.9937794404
31175;Mues;Total;2019;75;42.5966860057806;-2.2287912320
31176;Murchante;Total;2019;4.154;42.0419761320408;-1.6627794047
31177;Murieta;Total;2019;335;42.6582598580061;-2.1474762620
31178;Murillo el Cuende;Total;2019;665;42.3573073528258;-1.6024685537
31179;Murillo el Fruto;Total;2019;639;42.3999096382008;-1.4570152846
31180;Muruzábal;Total;2019;233;42.6905238264589;-1.7570913766
31181;Navascués/Nabaskoze;Total;2019;132;42.7265947557691;-1.1043390546
31182;Nazar;Total;2019;34;42.6395655117148;-2.2804427805
31088;Noáin (Valle de Elorz)/Noain (Elortzibar);Total;2019;8.320;42.817991;-1.644215
31183;Obanos;Total;2019;935;42.6617120620277;-1.7841443144
31185;Ochagavía/Otsagabia;Total;2019;521;42.948734392931;-1.07439716028
31184;Oco;Total;2019;77;42.6434888591902;-2.1604613600
31186;Odieta;Total;2019;362;42.9314977927192;-1.6459192281
31187;Oiz;Total;2019;129;43.0929522624535;-1.6909232883
31188;Olaibar;Total;2019;378;42.9000183681804;-1.6032317068
31189;Olazti/Olazagutía;Total;2019;1.489;42.8759641023825;-2.1982955932
31190;Olejua;Total;2019;50;42.6233185392418;-2.1397478365
31191;Olite/Erriberri;Total;2019;3.946;42.4474124498672;-1.6798044900
31192;Olóriz/Oloritz;Total;2019;203;42.6418188971207;-1.5967679085
31195;Orbaizeta;Total;2019;195;42.9970540723503;-1.2131781167
31196;Orbara;Total;2019;33;42.9728963509138;-1.2463442234
31197;Orísoain;Total;2019;79;42.6013270135892;-1.5979239777
31906;Orkoien;Total;2019;4.057;42.817991;-1.644215
31198;Oronz/Orontze;Total;2019;47;42.8733904068487;-1.0692166055
31199;Oroz-Betelu/Orotz-Betelu;Total;2019;146;42.9024146290609;-1.3050482029
31211;Orreaga/Roncesvalles;Total;2019;22;43.0189421821045;-1.3073077137
31200;Oteiza;Total;2019;918;42.5736787769813;-1.9483936615
31201;Pamplona/Iruña;Total;2019;201.653;42.817991;-1.644215
31202;Peralta/Azkoien;Total;2019;5.893;42.3604266400219;-1.8109763741
31203;Petilla de Aragón;Total;2019;31;42.44527389023;-1.117352059630
31204;Piedramillera;Total;2019;37;42.6125857655602;-2.2058219463
31205;Pitillas;Total;2019;484;42.4213662239221;-1.5778250182
31206;Puente la Reina/Gares;Total;2019;2.840;42.6949592314867;-1.8199270837
31207;Pueyo;Total;2019;351;42.5671090734524;-1.6574564806
31208;Ribaforada;Total;2019;3.750;41.9918994762144;-1.5141069556
31209;Romanzado;Total;2019;175;42.6795740774494;-1.1965924754
31210;Roncal/Erronkari;Total;2019;211;42.8104100062586;-0.9382976120
31213;Saldías;Total;2019;122;43.0929369125505;-1.7729170386
31214;Salinas de Oro/Jaitz;Total;2019;109;42.7778142862312;-1.8787634906
31215;San Adrián;Total;2019;6.292;42.3465371774849;-1.9225552530
31217;San Martín de Unx;Total;2019;392;42.5252474901861;-1.5713873718
31216;Sangüesa/Zangoza;Total;2019;4.962;42.817991;-1.644215
31219;Sansol;Total;2019;102;42.5377359040769;-2.2561453444
31220;Santacara;Total;2019;874;42.379924497064;-1.54398176946
31222;Sarriés/Sartze;Total;2019;58;42.8457826189985;-1.0898670316
31223;Sartaguda;Total;2019;1.315;42.3826631246633;-2.0426007109
31224;Sesma;Total;2019;1.164;42.4798902247838;-2.0943004164
31225;Sorlada;Total;2019;57;42.6124867801861;-2.2182585465
31226;Sunbilla;Total;2019;675;43.1812571059365;-1.6552738611
31227;Tafalla;Total;2019;10.595;42.5247548091673;-1.7055794824
31228;Tiebas-Muruarte de Reta;Total;2019;606;42.6856277629792;-1.6489394876
